RPM;Pompe
35000;50
37291;70
39582;90
41873;110
44164;130
46455;150
48746;170
51037;190
53328;210
55619;230
57910;250
60201;270
62492;290
64783;310
67074;330
69365;350
71656;370
73947;390
76238;410
78529;430
80820;450
83111;470
85402;490
87693;510
89984;530
92275;550
94566;570
96857;590
99148;610
101439;630
103730;650
106021;670
108312;690
110603;710
112894;730
115185;750
117476;770
119767;790
122058;810
124349;830
126640;850
128931;870
131222;890
133513;910
135804;930
138095;950
140386;970
142677;990
144968;1010
145000;1030
