Ticks;Time;RPM;RPMDelta;RPMPeriod;EGT;EGT_delta;Pompe1;Cible Pompe1;Pompe2;Glow;Vanne1;Vanne2;Voie Gaz;Voie Aux;Vbatt;Glow current;Stater;ErrorMsg;PhaseF;PhaseS
1239;00:01;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;0;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1249;00:01;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;0;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1259;00:01;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;0;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1269;00:01;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;0;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1281;00:01;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;0;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1291;00:02;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;0;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1301;00:02;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;0;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1311;00:02;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;0;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1323;00:02;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;5;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1333;00:02;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;5;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1343;00:02;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;5;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1353;00:02;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;5;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1365;00:02;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;5;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1375;00:02;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;5;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1385;00:02;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;5;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1397;00:03;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;5;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1407;00:03;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;5;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1417;00:03;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;5;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1427;00:03;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;5;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1439;00:03;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;5;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1449;00:03;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;5;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1459;00:03;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;5;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost;1;1
1469;00:03;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;0;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost - NO GLOW DETECTED;0;0
1481;00:03;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;0;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost - NO GLOW DETECTED;0;0
1491;00:00;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;0;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost - NO GLOW DETECTED;0;0
1501;00:00;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;0;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost - NO GLOW DETECTED;0;0
1513;00:00;0;0;0;0;0;0.000000;Cible Pompe1;0.000000;0;0;0;0;0;7.77;0.000;0.00;K shorted to VCC! - Thr signal lost - Aux signal lost - NO GLOW DETECTED;0;0
